timestamp,symbol,side,price,amount,realized_pnl
2026-07-10T12:00:00Z,BTC/USDT,buy,95000.0,0.5,220.0
2026-07-10T12:01:00Z,BTC/USDT,buy,95000.0,0.5,145.0
2026-07-10T12:02:00Z,BTC/USDT,sell,95000.0,0.5,-86.0
2026-07-10T12:03:00Z,BTC/USDT,buy,95000.0,0.5,148.0
2026-07-10T12:04:00Z,BTC/USDT,sell,95000.0,0.5,-101.0
2026-07-10T12:05:00Z,BTC/USDT,buy,95000.0,0.5,266.0
2026-07-10T12:06:00Z,BTC/USDT,sell,95000.0,0.5,-148.0
2026-07-10T12:07:00Z,BTC/USDT,buy,95000.0,0.5,181.0
2026-07-10T12:08:00Z,BTC/USDT,sell,95000.0,0.5,-46.0
2026-07-10T12:09:00Z,BTC/USDT,buy,95000.0,0.5,98.0
