clean_return,leaked_return
28.161317789067418,50.00886404071038
30.32504129077582,12.219289229755894
36.988276932539804,25.29490463654538
29.036321549847248,51.30617673026947
44.135077900481214,27.2973885102086
14.67364128909117,42.43379515327781
32.70936649768861,22.064903016905486
17.944656156958104,49.39621394044118
29.468586573625622,54.081985629645615
27.097757293774894,43.24987102225976
27.071768831362473,43.22256074143925
8.926116156085765,42.194507158947545
30.84734829170455,32.13755590608721
36.269531779444115,46.761758401872015
46.793308878855115,39.46917847645359
