timestamp,symbol,side,price,amount,realized_pnl
2026-07-10T12:00:00Z,BTC/USDT,buy,95000.0,0.5,180.0
2026-07-10T12:01:00Z,BTC/USDT,buy,95000.0,0.5,165.0
2026-07-10T12:02:00Z,BTC/USDT,sell,95000.0,0.5,-94.0
2026-07-10T12:03:00Z,BTC/USDT,buy,95000.0,0.5,132.0
2026-07-10T12:04:00Z,BTC/USDT,sell,95000.0,0.5,-89.0
2026-07-10T12:05:00Z,BTC/USDT,buy,95000.0,0.5,234.0
2026-07-10T12:06:00Z,BTC/USDT,sell,95000.0,0.5,-132.0
2026-07-10T12:07:00Z,BTC/USDT,buy,95000.0,0.5,169.0
2026-07-10T12:08:00Z,BTC/USDT,sell,95000.0,0.5,-54.0
2026-07-10T12:09:00Z,BTC/USDT,buy,95000.0,0.5,122.0
