timestamp,symbol,side,price,amount,realized_pnl
2026-07-09T10:00:00Z,BTC/USDT,buy,90000.0,0.1,150.0
2026-07-09T11:00:00Z,BTC/USDT,sell,91000.0,0.1,180.0
2026-07-09T12:00:00Z,BTC/USDT,buy,89500.0,0.1,-100.0
2026-07-09T13:00:00Z,BTC/USDT,sell,90500.0,0.1,120.0
2026-07-09T14:00:00Z,BTC/USDT,buy,89000.0,0.1,-80.0
2026-07-09T15:00:00Z,BTC/USDT,sell,91500.0,0.1,210.0
2026-07-09T16:00:00Z,BTC/USDT,buy,88500.0,0.1,-120.0
2026-07-09T17:00:00Z,BTC/USDT,sell,90000.0,0.1,160.0
2026-07-09T18:00:00Z,BTC/USDT,buy,89800.0,0.1,-60.0
2026-07-09T19:00:00Z,BTC/USDT,sell,91200.0,0.1,140.0
