timestamp,high,low,close
2026-07-09T10:00:00Z,3005.0,2995.0,3000.0
2026-07-09T11:00:00Z,3005.0,2995.0,3000.0
2026-07-09T12:00:00Z,3005.0,2995.0,3000.0
2026-07-09T13:00:00Z,3005.0,2995.0,3000.0
2026-07-09T14:00:00Z,3005.0,2995.0,3000.0
2026-07-09T15:00:00Z,3005.0,2995.0,3000.0
2026-07-09T16:00:00Z,3005.0,2995.0,3000.0
2026-07-09T17:00:00Z,3005.0,2995.0,3000.0
2026-07-09T18:00:00Z,3005.0,2995.0,3000.0
2026-07-09T19:00:00Z,3005.0,2995.0,3000.0
2026-07-09T20:00:00Z,3005.0,2995.0,3000.0
2026-07-09T21:00:00Z,3005.0,2995.0,3000.0
2026-07-09T22:00:00Z,3005.0,2995.0,3000.0
2026-07-09T23:00:00Z,3005.0,2995.0,3000.0
2026-07-09T24:00:00Z,3005.0,2995.0,3000.0
