clean_return,leaked_return
8.28331737841446,54.24570020390557
20.54391512452504,32.67589796714987
34.499804633563684,41.206104503736086
28.407923551958902,40.5111848742633
20.805746888984434,32.375354450006704
13.825590880186517,24.70107380626017
27.65929467700109,31.675550471317095
23.788773081323306,24.707971365615126
21.021587187941122,49.77131800222995
29.881504065488624,37.43883659213387
46.45471980129412,13.713016940964277
44.96506909793703,48.26657819537931
34.997486366009475,27.96891332259355
39.14887485075547,30.63752170302204
9.836476720163411,38.091941574946205
