timestamp,symbol,side,price,amount,realized_pnl
2026-07-10T12:00:00Z,BTC/USDT,buy,95000.0,0.5,240.0
2026-07-10T12:01:00Z,BTC/USDT,buy,95000.0,0.5,135.0
2026-07-10T12:02:00Z,BTC/USDT,sell,95000.0,0.5,-82.0
2026-07-10T12:03:00Z,BTC/USDT,buy,95000.0,0.5,156.0
2026-07-10T12:04:00Z,BTC/USDT,sell,95000.0,0.5,-107.0
2026-07-10T12:05:00Z,BTC/USDT,buy,95000.0,0.5,282.0
2026-07-10T12:06:00Z,BTC/USDT,sell,95000.0,0.5,-156.0
2026-07-10T12:07:00Z,BTC/USDT,buy,95000.0,0.5,187.0
2026-07-10T12:08:00Z,BTC/USDT,sell,95000.0,0.5,-42.0
2026-07-10T12:09:00Z,BTC/USDT,buy,95000.0,0.5,86.0
